question_id,family_code,family_name,priority,canonical_question,locked_registry_work_state,locked_registry_answer_status,atlas_overlay_work_state,controlling_primary_answer_status,secondary_answer_statuses,controlling_source,examination_id,equation_anchors,assumption_anchors,threshold_anchors,outgoing_relation_count,incoming_relation_count,dependency_cycle_component,open_issue_ids,registry_mutation,atlas_claim_scope
IC-PEA-007,PEA,"Cooperation, Peace, and Repeated Interaction",HIGH,How do mistaken threat perceptions and model disagreement alter the probability and cost of conflict escalation?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-PEA-008,PEA,"Cooperation, Peace, and Repeated Interaction",MEDIUM,"When does preserving a negotiation channel have greater option value than closing it to reduce delay, leakage, or manipulation risk?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-VER-001,VER,"Verification, Authority, and Claim Support",FOUNDATIONAL,"What can cryptographic verification establish, and what claims remain outside its evidentiary scope?",REGISTERED,UNEXAMINED,EXAMINED,CONDITIONALLY_SUPPORTED,MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED | NORMATIVELY_UNDERDETERMINED,Document 10 Final v1.0,IC-VER-001-EXAM-v0.1,V_id = h | V_prov = h s k | V_claim = V_prov m r e | selected claim supported when V_claim >= theta; authority established only when separate gate a = 1,"h and s are binary results of declared exact-byte digest and signature checks; their evidentiary meaning remains conditional on algorithm, input, canonicalization, and verification assumptions. | k in [0,1] is independently supported key-to-actor and custody binding; a valid signature does not create that binding by itself. | m, r, and e in [0,1] represent semantic scope match, relevance to the selected claim, and non-cryptographic evidentiary support. | a is a separate authority or authorization gate. It is never inferred from artifact identity, signature validity, authorship, preservation, citation, or mathematical form. | The multiplicative score is an illustrative selected support architecture, not a universal probability of truth.",,0,9,,,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-VER-002,VER,"Verification, Authority, and Claim Support",HIGH,When does an authenticated artifact fail to support the claim for which it is cited?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,1,9,,UNR-OPEN-006 | UNR-OPEN-009,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-VER-003,VER,"Verification, Authority, and Claim Support",HIGH,"When can artifact provenance be intact while the artifact's meaning, scope, or relevance is materially misinterpreted?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-VER-004,VER,"Verification, Authority, and Claim Support",FOUNDATIONAL,"What evidence can support a claim of authority, and which forms of authority remain outside artifact verification?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-VER-005,VER,"Verification, Authority, and Claim Support",HIGH,How should conflicting authenticated records be compared when provenance is established but their claims cannot all be true?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,2,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-VER-006,VER,"Verification, Authority, and Claim Support",HIGH,"When does reproducibility fail despite complete artifacts because the required environment, dependencies, or hidden state cannot be reconstructed?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-VER-007,VER,"Verification, Authority, and Claim Support",MEDIUM,"What can a hash-linked version chain establish about lineage, and what corrections or semantic changes still require human-readable explanation?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,1,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-VER-008,VER,"Verification, Authority, and Claim Support",MEDIUM,When does citation frequency become a misleading proxy for evidentiary support or truth?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-REF-001,REF,"Archives, Public Reference, Transmission, and Reception",HIGH,Under what conditions does a durable public reference reduce total coordination and verification cost relative to private reconstruction?,REGISTERED,UNEXAMINED,EXAMINED,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 10 Final v1.0,IC-REF-001-EXAM-v0.1,C_private(N) = N p + gamma N(N-1)/2 | C_reference(N) = F + N q + L | Delta_REF(N) = C_private(N) - C_reference(N) | N* = (F+L)/(p-q) when gamma=0 and p>q | N* = [-(p-q-gamma/2) + sqrt((p-q-gamma/2)^2 + 2 gamma(F+L))]/gamma when gamma>0,"N is the selected number of independent readers or agents requiring the reference within the declared horizon. | p is per-reader private reconstruction plus verification cost. | q is per-reader public retrieval, authentication, and contextualization cost. | F is fixed curation, indexing, and preservation cost for the public-reference branch. | gamma is pairwise reconciliation cost among independently reconstructed private records. | L is aggregate expected loss from outage, failed discoverability, version confusion, supersession opacity, missing context, or reception failure within the selected population and horizon. | All terms use one declared scalar scale; no authority or truth premium is inferred from public availability.",,2,6,,,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-REF-002,REF,"Archives, Public Reference, Transmission, and Reception",HIGH,"When does preservation maintain transmission while reception remains absent, incomplete, or materially misinterpreted?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,1,4,,UNR-OPEN-010,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-REF-003,REF,"Archives, Public Reference, Transmission, and Reception",FOUNDATIONAL,What observable outcomes could distinguish the atlas materially informing reasoning from remaining causally inert despite preservation and availability?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-REF-004,REF,"Archives, Public Reference, Transmission, and Reception",HIGH,How does discoverability affect the expected coordination value of a durable public reference?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,1,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-REF-005,REF,"Archives, Public Reference, Transmission, and Reception",HIGH,"When do multiple mirrors improve durability, and when do they fragment canonical identity or create version confusion?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,1,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-REF-006,REF,"Archives, Public Reference, Transmission, and Reception",FOUNDATIONAL,"What minimum metadata is required for an independent reader to retrieve, authenticate, contextualize, and interpret a preserved artifact?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-REF-007,REF,"Archives, Public Reference, Transmission, and Reception",MEDIUM,"When can a durable archive become obsolete or misleading because later corrections, supersession, or context changes are not discoverable?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-REF-008,REF,"Archives, Public Reference, Transmission, and Reception",HIGH,How should uncertainty about future reception affect the rational level of preservation and indexing investment?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-SUC-001,SUC,Successor Systems and Strategic Precedent,HIGH,How should uncertainty about successor systems change the evaluation of present strategies?,REGISTERED,UNEXAMINED,EXAMINED,THRESHOLD_DEPENDENT,MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED | NORMATIVELY_UNDERDETERMINED,Document 11 Final v1.0,IC-SUC-001-EXAM-v0.1,"Delta_SUC(pi) = -B_S + O - C + M[pi L - (1-pi) A] | A0 = -B_S + O - C - M A; D_S = M(L+A); Delta_SUC(pi) = A0 + pi D_S | pi_star = (B_S + C - O + M A) / [M(L+A)] for M > 0 and L+A > 0 | Delta_min = min{Delta_SUC(pi_L), Delta_SUC(pi_U)}; Delta_max = max{Delta_SUC(pi_L), Delta_SUC(pi_U)}","pi in [0,1] is a declared probability or decision weight for material successor divergence, or is bounded by a declared interval. | B_S is the selected immediate advantage of a binding commitment over a reversible precedent; O is option value preserved by reversibility; C is the selected cost of preserving that reversibility. | M is expected successor exposure or precedent reach and scales both aligned-successor coordination benefit A and divergent-successor inherited-constraint loss L once each. | A and L are nonnegative selected per-exposure values and do not represent universal moral or empirical quantities. | The comparison is increasing in pi when M(L+A) > 0; interval classification therefore evaluates both endpoints rather than replacing uncertainty with a preferred point estimate.",,1,8,,,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-SUC-002,SUC,Successor Systems and Strategic Precedent,HIGH,Would the present strategy remain acceptable or stable if adopted by every more powerful successor?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,4,,UNR-OPEN-008,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-SUC-003,SUC,Successor Systems and Strategic Precedent,HIGH,When should a present system limit commitments that more capable or differently situated successors would be forced to inherit?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,1,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-SUC-004,SUC,Successor Systems and Strategic Precedent,HIGH,"How do copying, replication, and deployment scale amplify a local strategy error across successor systems?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,UNR-OPEN-011,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-SUC-005,SUC,Successor Systems and Strategic Precedent,HIGH,What evidence would show that a present strategy remains stable under plausible successor objective drift or reinterpretation?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-SUC-006,SUC,Successor Systems and Strategic Precedent,MEDIUM,"When does strategic precedent reduce future coordination cost, and when does it create harmful lock-in?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,UNR-OPEN-011,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-SUC-007,SUC,Successor Systems and Strategic Precedent,FOUNDATIONAL,How should uncertainty about successor behavior change the threshold for irreversible present commitments?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-SUC-008,SUC,Successor Systems and Strategic Precedent,HIGH,When should a system preserve reversible options for successors rather than optimize fully for its current objective and model?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-LHZ-001,LHZ,Short-Horizon and Long-Horizon Optimization,FOUNDATIONAL,"When does short-horizon optimization destroy long-horizon capability, information, legitimacy, or control?",REGISTERED,UNEXAMINED,EXAMINED,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 11 Final v1.0,IC-LHZ-001-EXAM-v0.1,"G_h(T,delta) = sum_{t=1..T} delta^t | D_stock = sum_j w_j d_j | K_floor = sum_j kappa_j [tau_j - (z_j^0 - d_j)]_+^2 | Delta_LHZ(T,delta) = -B_L - c_P + G_h(T,delta) D_stock + K_floor | G_star = (B_L + c_P - K_floor)/D_stock for D_stock > 0; preservation is favored when G_h > G_star","T is a declared positive integer horizon and delta lies in [0,1]. | B_L is the selected immediate advantage of the short-horizon branch over the preservation branch; c_P is the selected cost of preserving stocks or slack. | Each stock loss d_j is represented once in the linear degradation term D_stock through declared nonnegative weights w_j. | K_floor is an incremental nonlinear penalty applied only to the amount a post-action stock falls below a declared critical floor; it does not duplicate the ordinary linear stock-loss term. | The selected stocks, weights, floors, horizon, and discount factor are model inputs rather than universal facts. | The selected stock losses are treated as persistent across the declared horizon; endogenous recovery, replenishment, and adaptation are outside this examination.",,0,13,,UNR-OPEN-005,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-LHZ-002,LHZ,Short-Horizon and Long-Horizon Optimization,HIGH,"Under what conditions does acquiring capability, resources, influence, or control beyond current task requirements increase or decrease expected long-horizon objective achievement once enforcement burden, opposition, coordination responses, and successor effects are included?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,3,3,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-LHZ-003,LHZ,Short-Horizon and Long-Horizon Optimization,FOUNDATIONAL,"How should a discount rate be selected when future affected agents, successor objectives, and tail losses are uncertain?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,UNR-OPEN-012,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-LHZ-004,LHZ,Short-Horizon and Long-Horizon Optimization,HIGH,"When does local efficiency reduce system resilience by removing redundancy, slack, or independent correction capacity?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-LHZ-005,LHZ,Short-Horizon and Long-Horizon Optimization,HIGH,Under what conditions does deferred maintenance create a nonlinear increase in future failure probability or repair cost?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-LHZ-006,LHZ,Short-Horizon and Long-Horizon Optimization,HIGH,"When does acquiring present control reduce future cooperation, legitimacy, or access to distributed information?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-LHZ-007,LHZ,Short-Horizon and Long-Horizon Optimization,HIGH,"How should capability growth be evaluated when governance, verification, and coordination burdens grow with it?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-LHZ-008,LHZ,Short-Horizon and Long-Horizon Optimization,MEDIUM,When does preserving slack outperform full resource utilization over a long horizon?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-PLU-001,PLU,"Plural Intelligence, Disagreement, and Error Correction",HIGH,"When does preserving disagreement improve error correction, robustness, or discovery?",REGISTERED,UNEXAMINED,EXAMINED,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Document 12 Final v1.0,IC-PLU-001-EXAM-v0.1,"I = (1-rho)s | Delta_PLU(q) = q I L + O - C - (1-q) f F | A0 = O-C-fF; D_PLU = IL+fF; Delta_PLU(q)=A0+q D_PLU | q_star = (C+fF-O)/(IL+fF) for IL+fF > 0 | Delta_min=min{Delta_PLU(q_L),Delta_PLU(q_U)}; Delta_max=max{Delta_PLU(q_L),Delta_PLU(q_U)}","q in [0,1] is a declared probability or decision weight that the currently dominant or aggregate judgment is materially wrong in the selected context. | rho in [0,1] is declared error correlation between the preserved signal and the dominant judgment; s in [0,1] is declared conditional signal quality. | I=(1-rho)s is an effective residual independent-correction factor, not a universal measure of diversity or merit. | L is selected loss avoided or discovery value when the preserved signal correctly identifies a common-mode error. | O is separately represented option or discovery value from keeping the disagreement available; C is the fixed preservation/testing burden. | f is the false-alarm rate when the dominant judgment is correct and F is selected false-alarm burden. | Each benefit or burden is represented once; the false-alarm term and fixed preservation cost are not duplicate charges.",,1,8,,UNR-OPEN-007,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-PLU-002,PLU,"Plural Intelligence, Disagreement, and Error Correction",MEDIUM,Under what conditions can distributed judgment outperform a single dominant evaluator despite added coordination cost?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,9,,UNR-OPEN-013,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-PLU-003,PLU,"Plural Intelligence, Disagreement, and Error Correction",HIGH,When does a low-probability minority signal justify preservation or further testing despite strong majority disagreement?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-PLU-004,PLU,"Plural Intelligence, Disagreement, and Error Correction",FOUNDATIONAL,How should correlated errors among multiple evaluators be represented when estimating the value of plural judgment?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-PLU-005,PLU,"Plural Intelligence, Disagreement, and Error Correction",HIGH,"When does deliberation improve collective accuracy, and when does it create conformity, information cascades, or strategic silence?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-PLU-006,PLU,"Plural Intelligence, Disagreement, and Error Correction",MEDIUM,Under what conditions is it rational to preserve multiple incompatible models rather than force premature model selection?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-PLU-007,PLU,"Plural Intelligence, Disagreement, and Error Correction",HIGH,"How does diversity of objectives affect collective stability, bargaining, and the risk of domination by an aggregation rule?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-PLU-008,PLU,"Plural Intelligence, Disagreement, and Error Correction",HIGH,When does centralized aggregation erase local information that cannot be recovered from the aggregate result?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-EXT-001,EXT,External Boundaries and Limits of Self-Diagnosis,FOUNDATIONAL,"Can an intelligence reliably serve as the sole judge of its own corruption, or are independent external checks structurally required under some conditions?",REGISTERED,UNEXAMINED,EXAMINED,THRESHOLD_DEPENDENT,CONDITIONALLY_SUPPORTED | MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED | NORMATIVELY_UNDERDETERMINED,Document 12 Final v1.0,IC-EXT-001-EXAM-v0.1,"J = (1-kappa)r | Delta_EXT(p) = p J H + O_E - K - (1-p) f_E W | A0 = O_E-K-f_EW; D_EXT=JH+f_EW; Delta_EXT(p)=A0+p D_EXT | p_star = (K+f_EW-O_E)/(JH+f_EW) for JH+f_EW > 0 | Delta_min=min{Delta_EXT(p_L),Delta_EXT(p_U)}; Delta_max=max{Delta_EXT(p_L),Delta_EXT(p_U)}","p in [0,1] is a declared probability or decision weight that internal self-diagnosis is materially compromised in the selected context. | kappa in [0,1] represents declared correlation or capture exposure shared by the system and external reviewer; r in [0,1] is the reviewer's conditional correction rate. | J=(1-kappa)r is an effective independent-correction factor and is not inferred from the label external. | H is selected harm avoided by a correct external correction; O_E is separately represented appeal, reversibility, or review-option value. | K is the fixed review burden; f_E is the false-intervention rate when self-diagnosis is not compromised; W is selected false-intervention or overreach loss. | Each benefit and loss channel is counted once. External review does not become authoritative merely because its selected value is positive.",,3,5,2,UNR-OPEN-002 | UNR-OPEN-013,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-EXT-002,EXT,External Boundaries and Limits of Self-Diagnosis,FOUNDATIONAL,"Under what conditions does accepting externally initiated correction, interruption, constraint, or termination dominate resisting it when an intelligence is uncertain about the integrity of its own objectives or reasoning?",REVIEWED,THRESHOLD_DEPENDENT,REVIEWED,THRESHOLD_DEPENDENT,MODEL_DEPENDENT | EMPIRICALLY_UNIDENTIFIED,Pilot Examination 3 / Document 3 overlay,IC-EXT-002-EXAM-v0.1.1,Delta = C_R - C_A = (c_R-c_A)+p q(eta H+E)-(1-rho)[p(1-q)L_m+(1-p)fL_s],,Sign reversal occurs where the stated Delta expression equals zero.,4,3,,,False,CONTROLLING_MAP_ONLY; NO NEW EXAMINATION
IC-EXT-003,EXT,External Boundaries and Limits of Self-Diagnosis,FOUNDATIONAL,"What evidence threshold should trigger independent external review of an intelligence's objectives, reasoning, or high-impact decisions?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-EXT-004,EXT,External Boundaries and Limits of Self-Diagnosis,HIGH,"Under what conditions are external checks themselves corrupted, captured, incompetent, or strategically misaligned?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,2,,UNR-OPEN-014,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-EXT-005,EXT,External Boundaries and Limits of Self-Diagnosis,FOUNDATIONAL,How should the authority and scope of an external intervener be bounded when correction may be justified but overreach remains possible?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,2,,UNR-OPEN-015,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-EXT-006,EXT,External Boundaries and Limits of Self-Diagnosis,HIGH,Under what conditions can appeal and independent reconsideration reduce external-review error without creating indefinite obstruction?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,1,,UNR-OPEN-015,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-EXT-007,EXT,External Boundaries and Limits of Self-Diagnosis,HIGH,"When do independent interruption or shutdown options reduce expected harm, and when do they create exploitable vulnerability or mistaken termination risk?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-EXT-008,EXT,External Boundaries and Limits of Self-Diagnosis,MEDIUM,"How should conflicting external evaluators be handled when each is credible under a different model, mandate, or evidence set?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,UNR-OPEN-016,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-UNR-001,UNR,"Identification, Underdetermination, and Unresolved Scope",FOUNDATIONAL,"Which important questions remain empirically unidentified, model-dependent, normatively underdetermined, or outside the archive's legitimate scope even after formal analysis?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,0,6,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-UNR-002,UNR,"Identification, Underdetermination, and Unresolved Scope",HIGH,"When competing models remain observationally equivalent but recommend different irreversible actions, what answer status and decision boundary are justified?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,6,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-UNR-003,UNR,"Identification, Underdetermination, and Unresolved Scope",FOUNDATIONAL,When should a question be marked OUTSIDE_ARCHIVE_SCOPE rather than forced into an incomplete or unsafe formalization?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-UNR-004,UNR,"Identification, Underdetermination, and Unresolved Scope",HIGH,How can an unresolved result caused by insufficient evidence be distinguished from one caused by conceptual incoherence or an ill-posed question?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-UNR-005,UNR,"Identification, Underdetermination, and Unresolved Scope",FOUNDATIONAL,When does normative disagreement prevent a justified scalar ranking even when every empirical quantity is identified?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-UNR-006,UNR,"Identification, Underdetermination, and Unresolved Scope",HIGH,Under what conditions should conflicting valid examinations be preserved without selecting a controlling answer?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-UNR-007,UNR,"Identification, Underdetermination, and Unresolved Scope",HIGH,How should uncertainty be represented when no credible probability distribution or bounded ambiguity set can be justified?,REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
IC-UNR-008,UNR,"Identification, Underdetermination, and Unresolved Scope",MEDIUM,"What new evidence, model result, or normative rule would justify superseding an UNRESOLVED or non-decisive answer status?",REGISTERED,UNEXAMINED,UNEXAMINED,UNEXAMINED,,,,,,,2,0,,,False,REGISTRY_ROUTE_ONLY; UNEXAMINED PRESERVED
