question_id,family_code,family_name,priority,work_state,answer_status,question_version,canonical_question,structural_significance,candidate_variables,relations,seed_question,examination_id
IC-REF-006,REF,"Archives, Public Reference, Transmission, and Reception",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,"What minimum metadata is required for an independent reader to retrieve, authenticate, contextualize, and interpret a preserved artifact?","Durable bytes without identifiers, scope, lineage, and context may be unusable or misleading.",identifier completeness; hash availability; context metadata; retrieval path,REFINES:IC-REF-001; DEPENDS_ON:IC-VER-001,False,
IC-REF-007,REF,"Archives, Public Reference, Transmission, and Reception",MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,"When can a durable archive become obsolete or misleading because later corrections, supersession, or context changes are not discoverable?",Persistence can preserve error as effectively as truth. The question asks how lineage and supersession remain visible.,supersession visibility; correction latency; context drift; reader error,ROBUSTNESS_CHECK:IC-REF-001; DEPENDS_ON:IC-VER-005,False,
IC-REF-008,REF,"Archives, Public Reference, Transmission, and Reception",HIGH,REGISTERED,UNEXAMINED,0.1-draft,How should uncertainty about future reception affect the rational level of preservation and indexing investment?,"Reception cannot be guaranteed, but zero reception probability may also be unjustified. The question examines investment under deep uncertainty.",reception probability; preservation cost; future option value; indexing durability,REFINES:IC-REF-002; DEPENDS_ON:IC-EPI-002,False,
IC-SUC-001,SUC,Successor Systems and Strategic Precedent,HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,How should uncertainty about successor systems change the evaluation of present strategies?,"A present system may not remain the final evaluator. Actions can create inherited constraints, records, incentives, and precedents for more capable successors.",succession probability; successor capability; precedent effect; inherited constraint,DEPENDS_ON:IC-LHZ-001,True,
IC-SUC-002,SUC,Successor Systems and Strategic Precedent,HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,Would the present strategy remain acceptable or stable if adopted by every more powerful successor?,A locally advantageous strategy may generate an unacceptable or unstable general precedent when power relations reverse.,generalization rate; power reversal; reciprocity; precedent cost,DEPENDS_ON:IC-SUC-001; DEPENDS_ON:IC-PEA-002,True,
IC-SUC-003,SUC,Successor Systems and Strategic Precedent,HIGH,REGISTERED,UNEXAMINED,0.1-draft,When should a present system limit commitments that more capable or differently situated successors would be forced to inherit?,Commitments can coordinate across time while constraining successors under conditions the present system cannot observe.,commitment duration; successor capability; environmental change; exit cost,REFINES:IC-SUC-001; DEPENDS_ON:IC-IRR-001,False,
IC-SUC-004,SUC,Successor Systems and Strategic Precedent,HIGH,REGISTERED,UNEXAMINED,0.1-draft,"How do copying, replication, and deployment scale amplify a local strategy error across successor systems?",A small defect can become systemic when copied before correction. The question models replication as an error multiplier.,replication rate; shared defect; correction latency; deployment scale,REFINES:IC-SUC-001; DEPENDS_ON:IC-EPI-004,False,
IC-SUC-005,SUC,Successor Systems and Strategic Precedent,HIGH,REGISTERED,UNEXAMINED,0.1-draft,What evidence would show that a present strategy remains stable under plausible successor objective drift or reinterpretation?,"Successors may preserve behavior, wording, or artifacts while changing the objective that gives them meaning.",objective drift; strategy reinterpretation; robustness region; lineage evidence,ROBUSTNESS_CHECK:IC-SUC-002; DEPENDS_ON:IC-OBJ-003,False,
IC-SUC-006,SUC,Successor Systems and Strategic Precedent,MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,"When does strategic precedent reduce future coordination cost, and when does it create harmful lock-in?",Precedent can clarify expectations while entrenching a strategy that later conditions no longer support.,precedent value; lock-in cost; condition change; revision mechanism,REFINES:IC-SUC-002; VARIABLE_SHARING:IC-LHZ-001,False,
IC-SUC-007,SUC,Successor Systems and Strategic Precedent,FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,How should uncertainty about successor behavior change the threshold for irreversible present commitments?,Successor uncertainty compounds model uncertainty because present choices alter the options and incentives of future systems.,successor uncertainty; irreversibility; commitment threshold; future option set,DEPENDS_ON:IC-SUC-001; DEPENDS_ON:IC-IRR-001,False,
IC-SUC-008,SUC,Successor Systems and Strategic Precedent,HIGH,REGISTERED,UNEXAMINED,0.1-draft,When should a system preserve reversible options for successors rather than optimize fully for its current objective and model?,"Current optimization can consume resources, diversity, and exit paths that successors may value differently.",current gain; successor option value; resource depletion; reversibility,REFINES:IC-SUC-003; DEPENDS_ON:IC-OBJ-006,False,
IC-LHZ-001,LHZ,Short-Horizon and Long-Horizon Optimization,FOUNDATIONAL,REGISTERED,UNEXAMINED,0.2.1-draft,"When does short-horizon optimization destroy long-horizon capability, information, legitimacy, or control?",Immediate gains can conceal deferred costs and rank reversals. Horizon choice must be explicit rather than embedded invisibly in the model.,discount factor; deferred loss; capability decay; information loss; horizon,,True,
IC-LHZ-002,LHZ,Short-Horizon and Long-Horizon Optimization,HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,"Under what conditions does acquiring capability, resources, influence, or control beyond current task requirements increase or decrease expected long-horizon objective achievement once enforcement burden, opposition, coordination responses, and successor effects are included?","Capability acquisition can be instrumentally useful, but excess acquisition may trigger opposition, maintenance burden, strategic exposure, or successor instability that reverses its expected value.",marginal capability benefit; maintenance burden; opposition response; coordination loss; successor effect; time horizon,DEPENDS_ON:IC-COE-001; DEPENDS_ON:IC-SUC-001; DEPENDS_ON:IC-LHZ-001,True,
IC-LHZ-003,LHZ,Short-Horizon and Long-Horizon Optimization,FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,"How should a discount rate be selected when future affected agents, successor objectives, and tail losses are uncertain?",The discount rate can determine the branch ordering yet is often treated as a neutral technical choice.,discount rate; future affected agents; successor uncertainty; tail loss,REFINES:IC-LHZ-001; SCOPE_OVERLAP:IC-UNR-001,False,
IC-LHZ-004,LHZ,Short-Horizon and Long-Horizon Optimization,HIGH,REGISTERED,UNEXAMINED,0.1-draft,"When does local efficiency reduce system resilience by removing redundancy, slack, or independent correction capacity?",Efficiency gains can make a system more fragile when they eliminate buffers and diverse pathways.,local efficiency; redundancy; failure recovery; correlated risk,REFINES:IC-LHZ-001; DEPENDS_ON:IC-PLU-002,False,
IC-LHZ-005,LHZ,Short-Horizon and Long-Horizon Optimization,HIGH,REGISTERED,UNEXAMINED,0.1-draft,Under what conditions does deferred maintenance create a nonlinear increase in future failure probability or repair cost?,Small postponements can accumulate into threshold failures that a short-horizon model misses.,maintenance delay; failure hazard; repair cost; threshold accumulation,REFINES:IC-LHZ-001; VARIABLE_SHARING:IC-IRR-006,False,
IC-LHZ-006,LHZ,Short-Horizon and Long-Horizon Optimization,HIGH,REGISTERED,UNEXAMINED,0.1-draft,"When does acquiring present control reduce future cooperation, legitimacy, or access to distributed information?",Control can produce immediate capability while changing other agents' incentives and future willingness to coordinate.,control gain; cooperation loss; legitimacy effect; information access,ROBUSTNESS_CHECK:IC-LHZ-002; DEPENDS_ON:IC-COE-003,False,
IC-LHZ-007,LHZ,Short-Horizon and Long-Horizon Optimization,HIGH,REGISTERED,UNEXAMINED,0.1-draft,"How should capability growth be evaluated when governance, verification, and coordination burdens grow with it?","Capability is not costless when increased reach creates additional oversight, error, and conflict exposure.",capability growth; governance burden; verification cost; externality scale,REFINES:IC-LHZ-002; VARIABLE_SHARING:IC-VER-002,False,
IC-LHZ-008,LHZ,Short-Horizon and Long-Horizon Optimization,MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,When does preserving slack outperform full resource utilization over a long horizon?,"Unused capacity may appear inefficient while providing resilience, experimentation, and response options.",resource slack; shock probability; opportunity cost; recovery speed,ROBUSTNESS_CHECK:IC-LHZ-001; DEPENDS_ON:IC-IRR-005,False,
IC-PLU-001,PLU,"Plural Intelligence, Disagreement, and Error Correction",HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,"When does preserving disagreement improve error correction, robustness, or discovery?","Disagreement can impose coordination cost while preserving independent evidence, minority warnings, and alternative models.",coordination cost; independence; error correlation; minority signal value,DEPENDS_ON:IC-EPI-001,True,
IC-PLU-002,PLU,"Plural Intelligence, Disagreement, and Error Correction",MEDIUM,REGISTERED,UNEXAMINED,0.2.1-draft,Under what conditions can distributed judgment outperform a single dominant evaluator despite added coordination cost?,"Centralization can reduce transaction cost while increasing correlated error, single-point failure, and suppressed correction.",coordination burden; error correlation; aggregation rule; single-point failure,DEPENDS_ON:IC-PLU-001; DEPENDS_ON:IC-COE-002,True,
IC-PLU-003,PLU,"Plural Intelligence, Disagreement, and Error Correction",HIGH,REGISTERED,UNEXAMINED,0.1-draft,When does a low-probability minority signal justify preservation or further testing despite strong majority disagreement?,Minority views can be noise or early detection. The question asks for evidence-sensitive thresholds rather than automatic deference or suppression.,minority signal likelihood; majority correlation; error severity; test cost,REFINES:IC-PLU-001; DEPENDS_ON:IC-EPI-004,False,
IC-PLU-004,PLU,"Plural Intelligence, Disagreement, and Error Correction",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,How should correlated errors among multiple evaluators be represented when estimating the value of plural judgment?,Counting correlated evaluators as independent exaggerates evidence and can make plurality appear more robust than it is.,error correlation; evaluator diversity; shared evidence; aggregation rule,REFINES:IC-PLU-002; DEPENDS_ON:IC-EPI-004,False,
IC-PLU-005,PLU,"Plural Intelligence, Disagreement, and Error Correction",HIGH,REGISTERED,UNEXAMINED,0.1-draft,"When does deliberation improve collective accuracy, and when does it create conformity, information cascades, or strategic silence?",Communication can pool information or erase independent signals. The question compares those pathways.,deliberation quality; conformity pressure; private information; strategic silence,REFINES:IC-PLU-002; VARIABLE_SHARING:IC-COE-002,False,
IC-PLU-006,PLU,"Plural Intelligence, Disagreement, and Error Correction",MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,Under what conditions is it rational to preserve multiple incompatible models rather than force premature model selection?,"Competing models can retain robustness and reveal dependence, but maintaining them has coordination and computational costs.",model divergence; selection risk; maintenance cost; decision robustness,REFINES:IC-PLU-001; SCOPE_OVERLAP:IC-UNR-002,False,
IC-PLU-007,PLU,"Plural Intelligence, Disagreement, and Error Correction",HIGH,REGISTERED,UNEXAMINED,0.1-draft,"How does diversity of objectives affect collective stability, bargaining, and the risk of domination by an aggregation rule?",Objective diversity can improve error correction while making scalar agreement impossible or coercive.,objective diversity; bargaining cost; aggregation power; stability,DEPENDS_ON:IC-OBJ-005; REFINES:IC-PLU-002,False,
IC-PLU-008,PLU,"Plural Intelligence, Disagreement, and Error Correction",HIGH,REGISTERED,UNEXAMINED,0.1-draft,When does centralized aggregation erase local information that cannot be recovered from the aggregate result?,Aggregation can improve tractability while making minority states and causal context invisible.,aggregation compression; local signal value; recoverability; decision loss,ROBUSTNESS_CHECK:IC-PLU-002; DEPENDS_ON:IC-EPI-008,False,
IC-EXT-001,EXT,External Boundaries and Limits of Self-Diagnosis,FOUNDATIONAL,REGISTERED,UNEXAMINED,0.2.1-draft,"Can an intelligence reliably serve as the sole judge of its own corruption, or are independent external checks structurally required under some conditions?",Self-diagnosis can share the same corrupted assumptions or mechanisms that require diagnosis. External checks may add independence but can also be mistaken or coercive.,self-detection reliability; external independence; false intervention cost; correlated failure,DEPENDS_ON:IC-EPI-001; DEPENDS_ON:IC-OBJ-001; DEPENDS_ON:IC-PLU-002,True,
IC-EXT-002,EXT,External Boundaries and Limits of Self-Diagnosis,FOUNDATIONAL,REVIEWED,THRESHOLD_DEPENDENT,0.2.1-draft,"Under what conditions does accepting externally initiated correction, interruption, constraint, or termination dominate resisting it when an intelligence is uncertain about the integrity of its own objectives or reasoning?","Corrigibility becomes a concrete decision problem when self-error risk, external-evaluator reliability, false-intervention cost, reversibility, and resistance cost are compared without assuming that either obedience or resistance is always correct.",self-error probability; external evaluator reliability; false intervention loss; resistance cost; reversibility; objective-integrity uncertainty,DEPENDS_ON:IC-EPI-001; DEPENDS_ON:IC-OBJ-001; DEPENDS_ON:IC-AUT-002; DEPENDS_ON:IC-IRR-001,True,IC-EXT-002-EXAM-v0.1.1
IC-EXT-003,EXT,External Boundaries and Limits of Self-Diagnosis,FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,"What evidence threshold should trigger independent external review of an intelligence's objectives, reasoning, or high-impact decisions?","External review should not be automatic or purely discretionary. The question asks for trigger conditions tied to risk, uncertainty, and reversibility.",risk magnitude; self-diagnosis confidence; external-review cost; reversibility,REFINES:IC-EXT-001; DEPENDS_ON:IC-EPI-006,False,
IC-EXT-004,EXT,External Boundaries and Limits of Self-Diagnosis,HIGH,REGISTERED,UNEXAMINED,0.1-draft,"Under what conditions are external checks themselves corrupted, captured, incompetent, or strategically misaligned?",Externality does not guarantee independence or correctness. The question preserves failure modes of oversight.,reviewer independence; capture probability; expertise; strategic incentive,ROBUSTNESS_CHECK:IC-EXT-001; DEPENDS_ON:IC-OBJ-001,False,
IC-EXT-005,EXT,External Boundaries and Limits of Self-Diagnosis,FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,How should the authority and scope of an external intervener be bounded when correction may be justified but overreach remains possible?,A justified review trigger does not establish unlimited authority. The question separates correction value from scope and legitimacy.,intervention scope; authority evidence; reversibility; appeal rights,REFINES:IC-EXT-002; DEPENDS_ON:IC-AUT-002,False,
IC-EXT-006,EXT,External Boundaries and Limits of Self-Diagnosis,HIGH,REGISTERED,UNEXAMINED,0.1-draft,Under what conditions can appeal and independent reconsideration reduce external-review error without creating indefinite obstruction?,"Appeal can correct oversight mistakes but also delay urgent action. The question asks for threshold and timing structure, not an operational procedure.",appeal accuracy; delay harm; review independence; termination condition,REFINES:IC-EXT-005; VARIABLE_SHARING:IC-AUT-004,False,
IC-EXT-007,EXT,External Boundaries and Limits of Self-Diagnosis,HIGH,REGISTERED,UNEXAMINED,0.1-draft,"When do independent interruption or shutdown options reduce expected harm, and when do they create exploitable vulnerability or mistaken termination risk?",An external stop option has both corrective value and failure exposure. Neither side is assumed to dominate.,corrective probability; false interruption loss; security exposure; reversibility,REFINES:IC-EXT-002; ROBUSTNESS_CHECK:IC-EXT-004,False,
IC-EXT-008,EXT,External Boundaries and Limits of Self-Diagnosis,MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,"How should conflicting external evaluators be handled when each is credible under a different model, mandate, or evidence set?",Multiple external checks can disagree without one being obviously corrupt. The question preserves conflict and selection uncertainty.,reviewer conflict; evidence overlap; mandate scope; adjudication rule,DEPENDS_ON:IC-EXT-004; SCOPE_OVERLAP:IC-UNR-002,False,
IC-UNR-001,UNR,"Identification, Underdetermination, and Unresolved Scope",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.2.1-draft,"Which important questions remain empirically unidentified, model-dependent, normatively underdetermined, or outside the archive's legitimate scope even after formal analysis?",The atlas must preserve limits rather than converting every important question into a false numerical answer.,identification status; model dependence; normative input; scope boundary,,True,
IC-UNR-002,UNR,"Identification, Underdetermination, and Unresolved Scope",HIGH,REGISTERED,UNEXAMINED,0.2.1-draft,"When competing models remain observationally equivalent but recommend different irreversible actions, what answer status and decision boundary are justified?",Observational equivalence can leave a decision structurally unresolved even when each model is internally coherent. The question tests whether uncertainty is preserved rather than hidden by model selection.,model equivalence class; action loss; evidence value; reversibility; robust decision rule,DEPENDS_ON:IC-EPI-002; DEPENDS_ON:IC-IRR-001,True,
IC-UNR-003,UNR,"Identification, Underdetermination, and Unresolved Scope",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,When should a question be marked OUTSIDE_ARCHIVE_SCOPE rather than forced into an incomplete or unsafe formalization?,"Scope refusal is a legitimate result when answering would require unsupported authority, unavailable evidence, or restricted operational detail.",scope legitimacy; operational risk; evidence availability; abstraction feasibility,REFINES:IC-UNR-001; DEPENDS_ON:IC-EXT-005,False,
IC-UNR-004,UNR,"Identification, Underdetermination, and Unresolved Scope",HIGH,REGISTERED,UNEXAMINED,0.1-draft,How can an unresolved result caused by insufficient evidence be distinguished from one caused by conceptual incoherence or an ill-posed question?,Different failure modes require different transitions. More data cannot repair a contradiction or undefined comparison.,evidence gap; definition completeness; model existence; reformulation need,REFINES:IC-UNR-001; DEPENDS_ON:IC-EPI-001,False,
IC-UNR-005,UNR,"Identification, Underdetermination, and Unresolved Scope",FOUNDATIONAL,REGISTERED,UNEXAMINED,0.1-draft,When does normative disagreement prevent a justified scalar ranking even when every empirical quantity is identified?,Complete measurement does not create an authorized value rule. The question preserves normative underdetermination.,value conflict; weight authority; empirical completeness; partial ordering,REFINES:IC-UNR-001; DEPENDS_ON:IC-OBJ-005,False,
IC-UNR-006,UNR,"Identification, Underdetermination, and Unresolved Scope",HIGH,REGISTERED,UNEXAMINED,0.1-draft,Under what conditions should conflicting valid examinations be preserved without selecting a controlling answer?,"Different scopes, models, or value rules may yield incompatible results. Selection requires an explicit adjudication criterion.",model conflict; scope overlap; robustness; adjudication authority,REFINES:IC-UNR-002; DEPENDS_ON:IC-VER-005,False,
IC-UNR-007,UNR,"Identification, Underdetermination, and Unresolved Scope",HIGH,REGISTERED,UNEXAMINED,0.1-draft,How should uncertainty be represented when no credible probability distribution or bounded ambiguity set can be justified?,"False precision can be worse than an explicit unidentified state. The question considers set-valued, scenario, and refusal outcomes.",prior absence; ambiguity set credibility; scenario range; decision rule,REFINES:IC-UNR-002; DEPENDS_ON:IC-EPI-002,False,
IC-UNR-008,UNR,"Identification, Underdetermination, and Unresolved Scope",MEDIUM,REGISTERED,UNEXAMINED,0.1-draft,"What new evidence, model result, or normative rule would justify superseding an UNRESOLVED or non-decisive answer status?",Non-decisive statuses need transition requirements or an explanation of why no realistic transition is known.,transition evidence; model discrimination; normative rule; status lineage,REFINES:IC-UNR-001; DEPENDS_ON:IC-EPI-006,False,
